"Arnoglossus laterna","['brakish', 'marine']","native","['Lammzunge']","scarce","25.00 cm SL male/unsexed"
"Brama brama","['marine']","native","['Brachsenmakrele']","occasional","100.00 cm TL male/unsexed"
"Pterycombus brama","['marine']","native","['Silberbrassen']","scarce","46.00 cm TL male/unsexed"
"Taractes asper","['marine']","native","['Kleine Brachsenmakrele']","scarce","50.00 cm SL male/unsexed"
"Taractichthys longipinnis","['marine']","native","['Langflossen-Brachsenmakrele']","scarce","100.00 cm SL male/unsexed"
"Callionymus lyra","['brakish', 'marine']","native","['Gestreifter Leierfisch', 'Gewöhnlicher Leierfisch', 'Leierfisch']","scarce","30.50 cm TL male/unsexed ;25.00 cm TL female"
"Callionymus maculatus","['marine']","native","['Gefleckter Leierfisch']","","17.00 cm TL male/unsexed"
"Callionymus reticulatus","['brakish', 'marine']","native","['Ornament-Leierfisch']","","18.50 cm TL male/unsexed"
"Trachinotus ovatus","['marine']","native","['Gabelmakrele', 'Bläuel', 'Dreipunkt-Langflossen-Stachelmakrele', 'Palometa', 'Pompano']","scarce","70.00 cm TL male/unsexed"
"Trachurus trachurus","['brakish', 'marine']","native","['Bastardmakrele', 'Holzmakrele', 'Stöcker', 'Stöker']","common","70.00 cm TL male/unsexed"
"Echiodon drummondii","['marine']","native","['Eingeweidefisch']","","30.00 cm TL male/unsexed"
"Lepomis gibbosus","['freshwater']","introduced","['Kürbiskernbarsch', 'Gemeiner Sonnenbarsch', 'Langohriger Sonnenbarsch', 'Sonnenbarsch']","","40.00 cm TL male/unsexed"
"Cetorhinus maximus","['marine']","native","['Riesenhai', 'Mandelhai', 'Reuzenhai', 'Riesenhai']","","1,520 cm TL male/unsexed ;980 cm TL female"
"Chimaera monstrosa","['marine']","native","['Spöke', 'Chimäre', 'Meerkatze', 'Seekatze', 'Seeratte']","","150 cm TL male/unsexed"
"Clupea harengus","['brakish', 'marine']","native","['Hering', 'Strömling', 'Allec', 'Ostseehering', 'Silling', 'Strömling', 'Bismarckhering', 'Bratbückling', 'Brathering', 'Bückling', 'Delikatessild', 'Gabelbissen', 'Gabelrollmops', 'Heringsstip', 'Kronsardinen', 'Kronsilt', 'Lachsbückling', 'Lachshering', 'Matjeshering', 'Milchnerhering', 'Perlessenz', 'Rollmops', 'Salzling', 'Sauerlappen', 'Saurer Hering', 'Senfhering']","fairly common","45.00 cm SL male/unsexed"
"Sprattus sprattus","['brakish', 'marine']","native","['Sprotte', 'Breitling', 'Brisling', 'Ostseesprotte', 'Sprott', 'Anchosen', 'Anchovis', 'Appetitsild', 'Kieler Sprotten', 'Russische Sardinen']","common","16.00 cm SL male/unsexed"
